BTC, 0 , 2 , 2 , -6 , 0 , 2 , 0
ETH, 0 , 2 , 2 , -2 , -4 , 2 , 0
NEO, 0 , 2 , 2 , -1 , -4 , 2 , -2
MTL, -2 , 2 , 0 , 2 , 0 , 4 , -4
LTC, 2 , 8 , 4 , -4 , -4 , 2 , 2
XRP, -1 , 2 , 1 , 1 , -4 , 0 , 0
ETC, -2 , 2 , 2 , -2 , -4 , 2 , -4
OMG, 0 , 0 , 0 , 2 , -6 , 0 , -6
SNT, 3 , -2 , 2 , 0 , -2 , 3 , -2
WAVES, 0 , 0 , 0 , 2 , -4 , -4 , -2
XEM, -1 , 3 , 0 , -2 , 0 , 6 , -3
QTUM, 0 , 2 , -4 , -4 , -4 , 6 , -2
LSK, -2 , 0 , 0 , 4 , -2 , 4 , -4
STEEM, -2 , 2 , 4 , 0 , 0 , 4 , -2
XLM, 2 , 2 , 2 , 0 , -6 , -1 , -5
ARDR, 0 , 4 , 0 , 0 , 0 , 4 , -4
ARK, 0 , 2 , 0 , 2 , 0 , 1 , -5
STORJ, 1 , -4 , 2 , 0 , 4 , 5 , -2
GRS, -4 , 2 , 1 , 3 , 3 , 4 , -4
REP, 0 , 2 , 2 , 0 , -2 , 2 , -2
ADA, -6 , -3 , -2 , -6 , 0 , 2 , -4
SBD, -4 , 4 , -2 , -2 , -1 , 6 , -6
POWR, -2 , 5 , 0 , 0 , 0 , 4 , -6
BTG, 2 , 4 , 0 , -6 , 0 , 0 , 0
ICX, 6 , 2 , -1 , -2 , 0 , 1 , 0
EOS, 2 , 0 , 3 , -2 , -2 , 2 , -2
TRX, -1 , 6 , 2 , -1 , 0 , 6 , 1
SC, 2 , 0 , 2 , 0 , -1 , 4 , 0
ONT, -2 , 3 , 2 , 0 , -4 , 4 , -2
ZIL, 3 , 2 , 1 , -3 , -2 , 3 , -3
POLY, -2 , 2 , -6 , 0 , -4 , 2 , -6
ZRX, 0 , 4 , 1 , -2 , 2 , 4 , -8
LOOM, -1 , 1 , 4 , -3 , -4 , 6 , 1
BCH, -6 , 4 , 2 , -4 , -2 , 0 , -2
BAT, 0 , -2 , 0 , 0 , 1 , 4 , -4
IOST, 0 , 2 , 2 , 0 , -4 , 2 , -2
RFR, -5 , 1 , 3 , 0 , 1 , 5 , -3
CVC, 0 , 2 , 3 , 0 , 0 , 6 , -7
IQ, -2 , 4 , 2 , 1 , -1 , 5 , -1
IOTA, 2 , 6 , 2 , 2 , -2 , 4 , -5
MFT, -2 , 3 , 3 , -5 , 0 , 5 , -2
ONG, 0 , -2 , 3 , -1 , -2 , 6 , -5
GAS, -2 , -2 , 1 , 0 , -2 , 2 , -1
UPP, 0 , 0 , 0 , -2 , 2 , 3 , -2
ELF, -2 , -4 , 0 , -2 , -2 , 2 , -2
KNC, -2 , 2 , 0 , -5 , -1 , 6 , -5
BSV, -4 , 0 , 2 , -6 , 2 , 2 , -2
THETA, 1 , 6 , -2 , -4 , -2 , 2 , -6
QKC, -4 , 1 , 4 , 3 , 0 , 2 , -7
BTT, 0 , 1 , 2 , -5 , -4 , 5 , -3
MOC, -2 , -4 , 3 , -2 , 2 , 5 , -4
ENJ, -2 , -1 , 6 , 0 , 1 , 3 , -4
TFUEL, -6 , 1 , 1 , -4 , -2 , 2 , -3
MANA, 0 , 0 , 2 , -2 , 0 , 6 , -4
ANKR, -1 , -1 , 0 , 1 , 2 , 2 , -4
AERGO, -2 , 4 , 0 , 2 , -2 , 8 , -6
ATOM, 0 , -2 , 2 , -4 , -2 , 4 , -4
TT, -2 , 2 , 3 , -2 , -1 , 4 , -4
CRE, 0 , 1 , 4 , 4 , 2 , 2 , -5
MBL, -3 , 4 , 0 , 0 , -1 , 3 , -3
WAXP, -2 , 2 , 3 , -3 , 2 , 2 , -4
HBAR, 0 , 2 , 2 , 2 , -2 , 2 , -1
MED, -2 , 6 , 4 , -2 , -6 , 4 , -6
MLK, 1 , 2 , 4 , 0 , 1 , 8 , -6
STPT, -3 , 0 , 2 , -2 , 1 , 3 , -1
ORBS, -1 , 4 , 0 , 3 , -1 , 3 , -4
VET, 2 , -1 , 0 , 2 , 0 , 4 , -1
CHZ, 2 , -2 , 4 , -2 , 0 , 6 , -6
STMX, 0 , 0 , 4 , 6 , 0 , 2 , -8
DKA, 2 , 2 , 1 , -6 , -3 , 8 , -5
HIVE, -6 , 1 , 0 , -2 , -2 , 4 , 2
KAVA, 0 , 6 , 2 , 0 , -4 , 2 , -2
AHT, 0 , 0 , 4 , -1 , 0 , 5 , -8
LINK, -2 , 4 , 4 , 0 , 0 , 2 , 0
XTZ, -2 , 2 , 0 , -2 , -2 , 3 , -8
BORA, 4 , 2 , 2 , -3 , 2 , 6 , -4
JST, 0 , 2 , 2 , -3 , -1 , 6 , 4
CRO, 2 , 2 , 1 , -3 , 0 , 4 , -2
TON, -2 , 4 , 6 , -4 , -2 , 2 , 0
SXP, -2 , 0 , 0 , -2 , -2 , 0 , -4
HUNT, -2 , -1 , 0 , 2 , 0 , 0 , 0
PLA, 0 , 2 , 6 , -1 , 0 , 4 , -4
DOT, -2 , 2 , 0 , -2 , -2 , 4 , 0
SRM, 0 , 2 , 0 , -2 , -4 , 2 , -6
MVL, -2 , 2 , 3 , 0 , -2 , 4 , -6
STRAX, 0 , 2 , 4 , 4 , -2 , 6 , -4
AQT, -2 , 6 , 6 , -2 , -2 , 4 , -6
GLM, 2 , 2 , 1 , 1 , 2 , 4 , -2
SSX, 2 , 2 , 0 , -6 , 0 , 2 , -2
META, -3 , 2 , 4 , -5 , -1 , 5 , -1
FCT2, -4 , 0 , 2 , -4 , -2 , 4 , -1
CBK, 0 , 5 , 4 , 0 , 2 , 0 , -6
SAND, 0 , 0 , 2 , 0 , 0 , 6 , -2
HUM, -6 , 2 , 4 , -4 , -6 , 4 , 2
DOGE, -2 , -2 , -5 , 0 , -1 , 1 , 4
STRK, -2 , -2 , 2 , -2 , 0 , 4 , -2
PUNDIX, 0 , 2 , 1 , -1 , 0 , 0 , 0
FLOW, 2 , -4 , -2 , 0 , -4 , 2 , -6
DAWN, 0 , -1 , 0 , 1 , -2 , 2 , -1
AXS, -4 , 2 , 2 , 0 , -2 , 2 , -2
STX, 2 , 0 , 0 , -4 , 0 , 4 , 2
XEC, -6 , 2 , -2 , -2 , -2 , 1 , -5
SOL, -2 , 0 , 1 , 1 , -2 , 4 , 2
MATIC, -1 , 2 , 5 , -1 , 4 , -2 , -3
NU, -4 , -2 , -3 , -2 , -6 , 8 , -6
AAVE, -2 , 4 , 2 , 0 , -4 , 0 , -2
1INCH, -2 , 0 , 2 , 0 , -4 , 4 , -2
ALGO, -3 , 3 , 0 , -3 , -3 , 1 , 3
NEAR, -1 , 1 , -1 , -1 , -1 , -1 , 1
